z,reference_u0,reference_u1
2.927964353145686913e-02,2.322108535453858758e-321,1.151172954810104448e-321
2.940530723760046219e-02,2.331989848370683689e-321,1.156113611268516913e-321
2.953097094374405179e-02,2.341871161287508619e-321,1.161054267726929379e-321
2.965663464988764486e-02,2.356693130662746016e-321,1.165994924185341844e-321
2.978229835603123446e-02,2.371515100037983412e-321,1.170935580643754310e-321
2.990796206217482753e-02,2.381396412954808343e-321,1.175876237102166775e-321
3.003362576831842060e-02,2.396218382330045739e-321,1.180816893560579241e-321
3.015928947446201019e-02,2.406099695246870670e-321,1.185757550018991706e-321
3.028495318060560326e-02,2.420921664622108066e-321,1.190698206477404171e-321
3.041061688674919286e-02,2.430802977538932997e-321,1.195638862935816637e-321
3.053628059289278593e-02,2.445624946914170394e-321,1.200579519394229102e-321
3.066194429903637900e-02,2.455506259830995325e-321,1.205520175852641568e-321
3.078760800517996860e-02,2.470328229206232721e-321,1.210460832311054033e-321
3.091327171132356166e-02,2.480209542123057652e-321,1.215401488769466499e-321
3.103893541746715473e-02,2.490090855039882583e-321,1.220342145227878964e-321
3.116459912361074433e-02,2.504912824415119979e-321,1.225282801686291430e-321
3.129026282975433393e-02,2.519734793790357375e-321,1.230223458144703895e-321
3.141592653589792700e-02,2.529616106707182306e-321,1.235164114603116360e-321
3.154159024204152006e-02,2.544438076082419703e-321,1.240104771061528826e-321
3.166725394818511313e-02,2.554319388999244633e-321,1.245045427519941291e-321
3.179291765432870620e-02,2.569141358374482030e-321,1.249986083978353757e-321
3.191858136047229233e-02,2.579022671291306961e-321,1.254926740436766222e-321
3.204424506661588540e-02,2.593844640666544357e-321,1.259867396895178688e-321
3.216990877275947847e-02,2.603725953583369288e-321,1.264808053353591153e-321
3.229557247890307153e-02,2.618547922958606684e-321,1.269748709812003619e-321
3.242123618504666460e-02,2.628429235875431615e-321,1.274689366270416084e-321
3.254689989119025073e-02,2.638310548792256546e-321,1.279630022728828549e-321
3.267256359733384380e-02,2.653132518167493942e-321,1.284570679187241015e-321
3.279822730347743687e-02,2.667954487542731339e-321,1.289511335645653480e-321
3.292389100962102993e-02,2.677835800459556269e-321,1.294451992104065946e-321
3.304955471576462300e-02,2.692657769834793666e-321,1.299392648562478411e-321
3.317521842190820913e-02,2.702539082751618597e-321,1.304333305020890877e-321
3.330088212805180220e-02,2.717361052126855993e-321,1.309273961479303342e-321
3.342654583419539527e-02,2.727242365043680924e-321,1.314214617937715808e-321
3.355220954033898834e-02,2.742064334418918320e-321,1.319155274396128273e-321
3.367787324648258140e-02,2.751945647335743251e-321,1.324095930854540738e-321
3.380353695262616753e-02,2.766767616710980647e-321,1.329036587312953204e-321
3.392920065876976060e-02,2.776648929627805578e-321,1.333977243771365669e-321
3.405486436491335367e-02,2.786530242544630509e-321,1.338917900229778135e-321
3.418052807105694674e-02,2.801352211919867905e-321,1.343858556688190600e-321
3.430619177720053981e-02,2.816174181295105302e-321,1.348799213146603066e-321
3.443185548334412593e-02,2.826055494211930233e-321,1.353739869605015531e-321
3.455751918948771900e-02,2.840877463587167629e-321,1.358680526063427996e-321
3.468318289563131207e-02,2.850758776503992560e-321,1.363621182521840462e-321
3.480884660177490514e-02,2.865580745879229956e-321,1.368561838980252927e-321
3.493451030791849821e-02,2.875462058796054887e-321,1.373502495438665393e-321
3.506017401406209127e-02,2.890284028171292283e-321,1.378443151897077858e-321
3.518583772020567740e-02,2.900165341088117214e-321,1.383383808355490324e-321
3.531150142634927047e-02,2.914987310463354611e-321,1.388324464813902789e-321
3.543716513249286354e-02,2.924868623380179542e-321,1.393265121272315255e-321
3.556282883863645661e-02,2.934749936297004472e-321,1.398205777730727720e-321
3.568849254478004968e-02,2.949571905672241869e-321,1.403146434189140185e-321
3.581415625092363580e-02,2.964393875047479265e-321,1.408087090647552651e-321
3.593981995706722887e-02,2.974275187964304196e-321,1.413027747105965116e-321
3.606548366321082194e-02,2.989097157339541592e-321,1.417968403564377582e-321
3.619114736935441501e-02,2.998978470256366523e-321,1.422909060022790047e-321
3.631681107549800808e-02,3.013800439631603919e-321,1.427849716481202513e-321
3.644247478164159421e-02,3.023681752548428850e-321,1.432790372939614978e-321
3.656813848778518727e-02,3.038503721923666247e-321,1.437731029398027444e-321
3.669380219392878034e-02,3.048385034840491178e-321,1.442671685856439909e-321
3.681946590007237341e-02,3.063207004215728574e-321,1.447612342314852374e-321
3.694512960621596648e-02,3.073088317132553505e-321,1.452552998773264840e-321
3.707079331235955261e-02,3.082969630049378436e-321,1.457493655231677305e-321
3.719645701850314568e-02,3.097791599424615832e-321,1.462434311690089771e-321
3.732212072464673874e-02,3.112613568799853228e-321,1.467374968148502236e-321
