z,hybrid_u0,hybrid_u1,hybrid_u2
5.302433237509060149e+00,-1.618111072124900351e-01,-2.632837225509602683e-02,1.729049353586100957e-01
5.333849164044957902e+00,-1.511711535072437773e-01,-3.475962558749132875e-02,1.630797799201775256e-01
5.365265090580855656e+00,-1.409456185944195639e-01,-4.228036396372188144e-02,1.520512428354283962e-01
5.396681017116753409e+00,-1.311407193873044275e-01,-4.890470735958839243e-02,1.399781904806243482e-01
5.428096943652651163e+00,-1.217603880296715402e-01,-5.465300314919206703e-02,1.270273633865276197e-01
5.459512870188550693e+00,-1.128064024761555734e-01,-5.955123301682335724e-02,1.133708683732204819e-01
5.490928796724448446e+00,-1.042785221678546870e-01,-6.363040014306742265e-02,9.918366695031061164e-02
5.522344723260346200e+00,-9.617462748621609381e-02,-6.692590481614718589e-02,8.464110053158746538e-02
5.553760649796243953e+00,-8.849086172131868933e-02,-6.947691625889818035e-02,6.991649115337356113e-02
5.585176576332141707e+00,-8.122177435055542849e-02,-7.132574801888880156e-02,5.517885386699764028e-02
5.616592502868039460e+00,-7.436046448801295061e-02,-7.251724375541730716e-02,4.059075386755444520e-02
5.648008429403937214e+00,-6.789872342956307372e-02,-7.309817968425762202e-02,2.630633780292238738e-02
5.679424355939834967e+00,-6.182717527712012356e-02,-7.311668932106095420e-02,1.246956466658259190e-02
5.710840282475732721e+00,-5.613541466585782180e-02,-7.262171550921790730e-02,-7.873426913219176921e-04
5.742256209011630474e+00,-5.081214061962732731e-02,-7.166249403948804497e-02,-1.334520900079773364e-02
5.773672135547530004e+00,-4.584528548666633868e-02,-7.028807247816420967e-02,-2.509896925615163685e-02
5.805088062083427758e+00,-4.122213770092886254e-02,-6.854686712874576149e-02,-3.595847571527129027e-02
5.836503988619325511e+00,-3.692945668117875169e-02,-6.648626036913646287e-02,-4.584904699021136176e-02
5.867919915155223265e+00,-3.295357738287221089e-02,-6.415223994153995690e-02,-5.471176156360681858e-02
5.899335841691121018e+00,-2.928050066655509681e-02,-6.158908113384331529e-02,-6.250350239044269451e-02
5.930751768227018772e+00,-2.589596349772846015e-02,-5.883907218672426026e-02,-6.919676326113693987e-02
5.962167694762916526e+00,-2.278547975993468547e-02,-5.594228269630821537e-02,-7.477923124416908929e-02
5.993583621298814279e+00,-1.993433782753253197e-02,-5.293637426314545119e-02,-7.925316273953553203e-02
6.024999547834712033e+00,-1.732753464737902746e-02,-4.985645216848488132e-02,-8.263457341440544335e-02
6.056415474370611562e+00,-1.494961740587990445e-02,-4.673495643908932851e-02,-8.495226452754145452e-02
6.087831400906509316e+00,-1.278439206453443541e-02,-4.360159027371429685e-02,-8.624670985933546863e-02
6.119247327442407069e+00,-1.081444091044847684e-02,-4.048328326523009668e-02,-8.656882864153686574e-02
6.150663253978304823e+00,-9.020368370779255351e-03,-3.740418454033426349e-02,-8.597867052820337697e-02
6.182079180514202577e+00,-7.379656299723952317e-03,-3.438566261939325630e-02,-8.454403878122915272e-02
6.213495107050100330e+00,-5.864770180109735338e-03,-3.144611211163945985e-02,-8.233907748409990957e-02
6.244911033585998084e+00,-4.441134291756640776e-03,-2.859899082657841804e-02,-7.944284777938130648e-02
6.276326960121895837e+00,-3.063307009502754408e-03,-2.583763144791391755e-02,-7.593791688970306930e-02
