z,hybrid_u0,hybrid_u1,hybrid_u2
2.480752069670544291e+00,5.191871767602016519e-01,1.028860602007368036e-01,3.494521740513844565e-01
2.512167996206442488e+00,5.117630682595716296e-01,1.009878941880329034e-01,3.388252873034927615e-01
2.543583922742341130e+00,5.034260964823643603e-01,9.901743669978338436e-02,3.269253424752947002e-01
2.574999849278239328e+00,4.942099455964742427e-01,9.693652118502285586e-02,3.137728727213979218e-01
2.606415775814137081e+00,4.841464852026450827e-01,9.469905150938785765e-02,2.993902936101479617e-01
2.637831702350035279e+00,4.732650857566668146e-01,9.225120003728801144e-02,2.838012679742691891e-01
2.669247628885933477e+00,4.615920367609550046e-01,8.953177361069632190e-02,2.670301145883781091e-01
2.700663555421831674e+00,4.491500832015398736e-01,8.647275118878874900e-02,2.491012790177840885e-01
2.732079481957729872e+00,4.359580932377023488e-01,8.299999386543020774e-02,2.300388840175721650e-01
2.763495408493627181e+00,4.220308673241813247e-01,7.903412476629076422e-02,2.098663754452912977e-01
2.794911335029524935e+00,4.073790958178043486e-01,7.449157300092688894e-02,1.886062778001277862e-01
2.826327261565423132e+00,3.920094687580910064e-01,6.928577246901569675e-02,1.662800712424445659e-01
2.857743188101320886e+00,3.759249379885443720e-01,6.332850295922765049e-02,1.429081993167150288e-01
2.889159114637219083e+00,3.591251281813597207e-01,5.653135770150215927e-02,1.185102136449638494e-01
2.920575041173116837e+00,3.416068897261975157e-01,4.880731840727401544e-02,9.310505863287925343e-02
2.951990967709015035e+00,3.233649829283121724e-01,4.007241592557392318e-02,6.671149580105954768e-02
2.983406894244912788e+00,3.043928796172492013e-01,3.024745202210733439e-02,3.934866379084685228e-02
3.014822820780810542e+00,2.846836651765658477e-01,1.925975551618666973e-02,1.103676647478102346e-02
3.046238747316708739e+00,2.642310212452023688e-01,7.044944144747292310e-03,-1.820212199306078804e-02
3.077654673852606493e+00,2.430302669832407891e-01,-6.451337884657223042e-03,-4.834314983855442921e-02
3.109070600388504690e+00,2.210794349014699456e-01,-2.127173759478825227e-02,-7.935769598815910209e-02
3.140486526924402444e+00,1.983803558779599352e-01,-3.744559750323635944e-02,-1.112123150182233594e-01
3.171902453460300197e+00,1.749397271666287279e-01,-5.498747756306449075e-02,-1.438676423729770282e-01
3.203318379996198395e+00,1.507701369707886430e-01,-7.389582511586702263e-02,-1.772772857368931365e-01
