z,mol_u0,mol_u1,mol_u2
5.105088062083414258e+00,-2.403800111924830896e-01,3.042230787072985887e-01,3.368746972111759108e-01
5.136503988619312011e+00,-2.295551903164034235e-01,3.194560870546894193e-01,3.634088411659190387e-01
5.167919915155209765e+00,-2.193096335497776161e-01,3.324376725486715145e-01,3.870180664647767110e-01
5.199335841691108406e+00,-2.096324757315903842e-01,3.431915124744253642e-01,4.076797600179567493e-01
5.230751768227006160e+00,-2.005066831690882068e-01,3.517593163301512282e-01,4.253964177643114186e-01
5.262167694762903913e+00,-1.919098989688017010e-01,3.581995759165749749e-01,4.401946439336497652e-01
5.293583621298801667e+00,-1.838153094931654075e-01,3.625861702294860822e-01,4.521239042154928112e-01
5.324999547834699420e+00,-1.761925156219459609e-01,3.650068498467133882e-01,4.612550586775810424e-01
5.356415474370598062e+00,-1.690083934247898212e-01,3.655616262409913109e-01,4.676787026100137634e-01
5.387831400906495816e+00,-1.622279300245178524e-01,3.643610917607670863e-01,4.715033452555735805e-01
5.419247327442393569e+00,-1.558150218112961671e-01,3.615246959139249983e-01,4.728534576130523082e-01
5.450663253978291323e+00,-1.497332237142458833e-01,3.571790030834216534e-01,4.718674211685646713e-01
5.482079180514189076e+00,-1.439464399069803335e-01,3.514559559240157394e-01,4.686954095307553914e-01
5.513495107050087718e+00,-1.384195480744742912e-01,3.444911674663074241e-01,4.634972345400767968e-01
5.544911033585985471e+00,-1.331189511589369323e-01,3.364222634236774256e-01,4.564401875195785996e-01
5.576326960121883225e+00,-1.280130522921339997e-01,3.273872943988759832e-01,4.476969049725540994e-01
5.607742886657780979e+00,-1.230726503736439548e-01,3.175232356624616559e-01,4.374432862555679979e-01
5.639158813193678732e+00,-1.182712554348517159e-01,3.069645899696403224e-01,4.258564886141556483e-01
5.670574739729577374e+00,-1.135853245069865375e-01,2.958421065411495077e-01,4.131130225177366833e-01
5.701990666265475127e+00,-1.089944201623437858e-01,2.842816269037825583e-01,3.993869675280501408e-01
5.733406592801372881e+00,-1.044812951997500655e-01,2.724030658124810822e-01,3.848483260416497020e-01
5.764822519337270634e+00,-1.000319080818571488e-01,2.603195330027872068e-01,3.696615292223163762e-01
5.796238445873168388e+00,-9.563537469127871005e-02,2.481365990917543674e-01,3.539841063435701374e-01
5.827654372409067030e+00,-9.128386274797700706e-02,2.359517065962988547e-01,3.379655256530604279e-01
5.859070298944964783e+00,-8.697243581924353484e-02,2.238537248060452622e-01,3.217462118048645126e-01
5.890486225480862537e+00,-8.269885425796882905e-02,2.119226451646688547e-01,3.054567419342184564e-01
5.921902152016760290e+00,-7.846334063043551577e-02,2.002294119069187028e-01,2.892172196190283540e-01
5.953318078552658044e+00,-7.426831725083876679e-02,1.888358809905598956e-01,2.731368233253465561e-01
5.984734005088556685e+00,-7.011812333841130340e-02,1.777948988712980682e-01,2.573135235058363057e-01
6.016149931624454439e+00,-6.601871906914030808e-02,1.671504914072546588e-01,2.418339603407994864e-01
6.047565858160352192e+00,-6.197738342431057673e-02,1.569381521557785264e-01,2.267734722039028428e-01
6.078981784696249946e+00,-5.800241226061501887e-02,1.471852185426014148e-01,2.121962633161307843e-01
6.110397711232147699e+00,-5.410282246032096370e-02,1.379113238401993569e-01,1.981556977319575696e-01
6.141813637768046341e+00,-5.028806738435845358e-02,1.291289125831457385e-01,1.846947057853698115e-01
6.173229564303944095e+00,-4.656776816546226438e-02,1.208438069636512402e-01,1.718462884081848052e-01
6.204645490839841848e+00,-4.295146466139980468e-02,1.130558118773112575e-01,1.596341043115866720e-01
6.236061417375739602e+00,-3.944838915766343823e-02,1.057593466111971942e-01,1.480731248813921541e-01
6.267477343911637355e+00,-3.606726518136253029e-02,9.894409166509145204e-02,1.371703417611383757e-01
