z,reference_u0,reference_u1,reference_u2
6.227334771115768108e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.255260039147678142e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.283185307179586787e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.311110575211495433e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.339035843243405466e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.366961111275314111e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.394886379307224145e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.422811647339132790e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.450736915371042823e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.478662183402951469e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.506587451434861502e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.534512719466770148e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.562437987498678793e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.590363255530588826e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.618288523562497472e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.646213791594407505e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.674139059626316151e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.702064327658226184e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.729989595690134829e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.757914863722044863e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.785840131753953508e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.813765399785863541e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.841690667817772187e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.869615935849680832e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.897541203881590866e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.925466471913499511e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.953391739945409544e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.981317007977318190e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.009242276009228223e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.037167544041136868e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.065092812073046902e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.093018080104955547e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.120943348136865580e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.148868616168774226e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.176793884200682871e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.204719152232592905e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.232644420264501550e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.260569688296411583e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.288494956328320229e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.316420224360230262e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.344345492392138908e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.372270760424048941e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.400196028455957586e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.428121296487867620e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.456046564519776265e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.483971832551684911e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.511897100583594944e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.539822368615503589e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.567747636647413623e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.595672904679322268e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.623598172711232301e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.651523440743140947e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.679448708775050980e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.707373976806959626e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.735299244838869659e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.763224512870778304e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.791149780902686950e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.819075048934596983e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.847000316966505629e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.874925584998415662e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.902850853030324307e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.930776121062234341e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.958701389094142986e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.986626657126053019e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.014551925157961665e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.042477193189870310e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.070402461221780344e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
