z,mol_u0,mol_u1
5.623450849925729855e+00,-8.350193327035800028e-02,1.588866013144802913e-01
5.644394800949661395e+00,-9.190535273281544293e-02,1.538142101758690483e-01
5.665338751973593823e+00,-1.003412159569558731e-01,1.485648367390701441e-01
5.686282702997525362e+00,-1.088018321221985857e-01,1.431469912391037935e-01
5.707226654021456902e+00,-1.172788603566495974e-01,1.375695932730424953e-01
5.728170605045389330e+00,-1.257633551717919906e-01,1.318419638236677793e-01
5.749114556069320869e+00,-1.342458156258889423e-01,1.259738156177971358e-01
5.770058507093253297e+00,-1.427162377360890466e-01,1.199752417454169745e-01
5.791002458117184837e+00,-1.511641696333298479e-01,1.138567024799713862e-01
5.811946409141117265e+00,-1.595787689348181493e-01,1.076290102547397959e-01
5.832890360165048804e+00,-1.679488617966108377e-01,1.013033127651447596e-01
5.853834311188981232e+00,-1.762630031040558765e-01,9.489107418196277011e-02
5.874778262212912772e+00,-1.845095372606096740e-01,8.840405447578864040e-02
5.895722213236845199e+00,-1.926766590458105777e-01,8.185428686865374448e-02
5.916666164260776739e+00,-2.007524740305482447e-01,7.525405344447858025e-02
5.937610115284709167e+00,-2.087250580618020268e-01,6.861585896598142165e-02
5.958554066308640706e+00,-2.165825153589511498e-01,6.195240296182517870e-02
5.979498017332572246e+00,-2.243130347988565587e-01,5.527655016406688576e-02
6.000441968356504674e+00,-2.319049440061669298e-01,4.860129939239989094e-02
6.021385919380436214e+00,-2.393467609078048508e-01,4.193975099810251517e-02
6.042329870404368641e+00,-2.466272424552893860e-01,3.530507299695015422e-02
6.063273821428300181e+00,-2.537354302644625470e-01,2.871046603644919135e-02
6.084217772452232609e+00,-2.606606929684067153e-01,2.216912735837435824e-02
6.105161723476164148e+00,-2.673927651249350945e-01,1.569421393255407762e-02
6.126105674500096576e+00,-2.739217825643233684e-01,9.298804951804802432e-03
6.147049625524028116e+00,-2.802383141051944526e-01,2.995863890629536352e-03
6.167993576547960544e+00,-2.863333896062249528e-01,-3.201799658628306372e-03
6.188937527571892083e+00,-2.921985243581355918e-01,-9.281568149308855667e-03
6.209881478595824511e+00,-2.978257398540605227e-01,-1.523105401388908514e-02
6.230825429619756051e+00,-3.032075810066208188e-01,-2.103813713326426957e-02
6.251769380643688478e+00,-3.083371299068806137e-01,-2.669100160626453055e-02
6.272713331667620018e+00,-3.132080162437927973e-01,-3.217817158532863125e-02
