z,reference_u0,reference_u1
1.533097214951818950e-02,-1.416932109020429056e-02,1.951682784541934612e-01
1.545663585566178083e-02,-1.428606255727701141e-02,1.951000618474206250e-01
1.558229956180537217e-02,-1.440282948952152642e-02,1.950313833826347321e-01
1.570796326794896350e-02,-1.451962189329992527e-02,1.949622431963158598e-01
1.583362697409255657e-02,-1.463643977474532801e-02,1.948926414256122730e-01
1.595929068023614616e-02,-1.475328313976193538e-02,1.948225782083405910e-01
1.608495438637973923e-02,-1.487015199402505483e-02,1.947520536829864535e-01
1.621061809252333230e-02,-1.498704634298115602e-02,1.946810679887050199e-01
1.633628179866692190e-02,-1.510396619184790207e-02,1.946096212653214419e-01
1.646194550481051497e-02,-1.522091154561419808e-02,1.945377136533311679e-01
1.658760921095410457e-02,-1.533788240904023110e-02,1.944653452939006932e-01
1.671327291709769763e-02,-1.545487878665751172e-02,1.943925163288678093e-01
1.683893662324129070e-02,-1.557190068276892610e-02,1.943192269007423534e-01
1.696460032938488030e-02,-1.568894810144877763e-02,1.942454771527064306e-01
1.709026403552847337e-02,-1.580602104654283552e-02,1.941712672286150521e-01
1.721592774167206297e-02,-1.592311952166838851e-02,1.940965972729966349e-01
1.734159144781565604e-02,-1.604024353021427790e-02,1.940214674310534737e-01
1.746725515395924910e-02,-1.615739307534097211e-02,1.939458778486621571e-01
1.759291886010283870e-02,-1.627456815998059095e-02,1.938698286723742337e-01
1.771858256624643177e-02,-1.639176878683697505e-02,1.937933200494166008e-01
1.784424627239002484e-02,-1.650899495838573788e-02,1.937163521276919764e-01
1.796990997853361444e-02,-1.662624667687432473e-02,1.936389250557795372e-01
1.809557368467720750e-02,-1.674352394432203350e-02,1.935610389829352518e-01
1.822123739082079710e-02,-1.686082676252011539e-02,1.934826940590925470e-01
1.834690109696439017e-02,-1.697815513303180951e-02,1.934038904348627241e-01
1.847256480310798324e-02,-1.709550905719239844e-02,1.933246282615354861e-01
1.859822850925157284e-02,-1.721288853610928107e-02,1.932449076910795205e-01
1.872389221539516591e-02,-1.733029357066200732e-02,1.931647288761428050e-01
1.884955592153875550e-02,-1.744772416150237176e-02,1.930840919700534675e-01
1.897521962768234857e-02,-1.756518030905444491e-02,1.930029971268199807e-01
1.910088333382594164e-02,-1.768266201351464950e-02,1.929214445011318557e-01
1.922654703996953124e-02,-1.780016927485182643e-02,1.928394342483601143e-01
1.935221074611312431e-02,-1.791770209280729720e-02,1.927569665245578157e-01
1.947787445225671391e-02,-1.803526046689492637e-02,1.926740414864605289e-01
1.960353815840030697e-02,-1.815284439640118402e-02,1.925906592914869986e-01
1.972920186454390004e-02,-1.827045388038521859e-02,1.925068200977394783e-01
1.985486557068748964e-02,-1.838808891767892625e-02,1.924225240640045076e-01
1.998052927683108271e-02,-1.850574950688703077e-02,1.923377713497532449e-01
2.010619298297467578e-02,-1.862343564638711813e-02,1.922525621151419395e-01
2.023185668911826537e-02,-1.874114733432974411e-02,1.921668965210127922e-01
2.035752039526185844e-02,-1.885888456863848289e-02,1.920807747288941769e-01
2.048318410140544804e-02,-1.897664734701002762e-02,1.919941969010012239e-01
2.060884780754904111e-02,-1.909443566691422858e-02,1.919071632002365690e-01
2.073451151369263418e-02,-1.921224952559418692e-02,1.918196737901906590e-01
2.086017521983622378e-02,-1.933008892006635171e-02,1.917317288351423898e-01
2.098583892597981684e-02,-1.944795384712054431e-02,1.916433285000597175e-01
2.111150263212340644e-02,-1.956584430332009017e-02,1.915544729506000743e-01
2.123716633826699951e-02,-1.968376028500186045e-02,1.914651623531109792e-01
2.136283004441059258e-02,-1.980170178827636226e-02,1.913753968746305656e-01
2.148849375055418218e-02,-1.991966880902783232e-02,1.912851766828883027e-01
